id,agent,gaze,valence,rt,correct
670,robot,closed,negative,502.9799999999814,1
670,robot,open,positive,634.359999999986,1
670,human,open,positive,597.0200000000186,1
670,human,open,negative,610.8199999999488,1
670,human,closed,negative,594.3000000000466,1
670,robot,closed,negative,524.2800000000279,1
670,robot,closed,positive,543.1199999999953,1
670,human,open,negative,616.0799999999581,1
670,human,closed,negative,710.3000000000466,1
670,robot,closed,negative,769,1
670,human,open,negative,580.3399999999674,1
670,robot,closed,negative,557.0600000000559,1
670,robot,open,positive,614.3399999999674,1
670,robot,open,positive,579.8800000000047,1
670,human,closed,negative,540.5200000000186,1
670,robot,open,negative,500.95999999996275,1
670,human,closed,negative,466.28000000002794,1
670,human,open,negative,670.2199999999721,1
670,human,closed,positive,602.9799999999814,1
670,human,closed,negative,573.0600000000559,1
670,human,open,positive,694.7199999999721,1
670,robot,closed,positive,634.1800000000512,1
670,robot,open,positive,547.9200000000419,1
670,robot,open,negative,629.4799999999814,1
670,human,closed,positive,553.4799999999814,1
670,robot,open,negative,530.2600000000093,1
670,robot,closed,negative,583.4200000000419,1
670,robot,closed,positive,601.140000000014,1
670,human,closed,negative,695.1199999999953,1
670,human,closed,negative,569.1999999999534,1
670,human,closed,negative,649.8399999999674,1
670,robot,open,negative,734.8399999999674,1
670,robot,open,positive,623.5999999999767,1
670,human,closed,positive,587.7600000000093,1
670,robot,open,positive,548.4200000000419,1
670,robot,open,positive,522.2800000000279,1
670,robot,open,positive,467.88000000000466,1
670,robot,closed,negative,555.3000000000466,1
670,human,closed,positive,665.2800000000279,1
670,human,open,positive,549.3399999999674,1
670,human,open,positive,550.640000000014,1
670,human,open,positive,625.9799999999814,1
670,robot,closed,positive,504.6800000000512,1
670,human,closed,negative,610.8399999999674,1
670,robot,open,negative,706.8000000000466,1
670,human,closed,positive,624.7199999999721,1
670,human,open,negative,644.6800000000512,1
670,human,closed,positive,702.8399999999674,0
670,human,closed,positive,518.4200000000419,1
670,robot,open,negative,855.1199999999953,1
670,human,open,negative,735.9399999999441,1
670,human,open,negative,592.5999999999767,1
670,human,open,positive,595.5,1
670,human,open,positive,903.7399999999907,1
670,robot,closed,negative,529.140000000014,1
670,human,open,negative,517.8800000000047,1
670,human,closed,negative,557.8000000000466,1
670,robot,open,positive,536.5,1
670,human,open,positive,575.0600000000559,1
670,robot,open,negative,569.359999999986,1
670,human,closed,positive,529.0799999999581,1
670,robot,closed,negative,598.5799999999581,1
670,human,open,negative,608.6199999999953,1
670,robot,open,negative,657.7800000000279,1
670,human,open,negative,599.1999999999534,1
670,robot,closed,positive,619.7800000000279,1
670,robot,open,positive,805.5200000000186,1
670,human,closed,negative,912.4399999999441,1
670,robot,open,negative,497,1
670,robot,closed,positive,565.8800000000047,1
670,robot,closed,negative,619.4000000000233,1
670,human,open,positive,617.640000000014,1
670,human,closed,negative,654.7600000000093,1
670,robot,open,negative,822.1999999999534,1
670,robot,open,positive,504.64000000001397,1
670,robot,open,positive,681.9799999999814,1
670,robot,closed,positive,626,1
670,human,closed,negative,618.2199999999721,1
670,human,closed,negative,583.9599999999627,1
670,robot,open,positive,654.859999999986,1
670,robot,closed,positive,540.359999999986,1
670,human,open,positive,546.8000000000466,1
670,human,closed,positive,601.3000000000466,1
670,human,open,positive,553.4799999999814,1
670,robot,closed,positive,595.9000000000233,1
670,human,closed,negative,667.6199999999953,1
670,human,open,negative,665.9200000000419,1
670,robot,open,positive,622.7199999999721,1
670,human,closed,positive,475.28000000002794,1
670,human,closed,positive,532.9599999999627,1
670,human,closed,negative,580.8399999999674,1
670,human,closed,positive,554.1999999999534,1
670,human,open,positive,1042.8399999999674,1
670,robot,closed,positive,599.1800000000512,1
670,robot,closed,negative,660.3000000000466,1
670,human,open,negative,537.3399999999674,1
670,robot,closed,negative,658.5799999999581,1
670,robot,open,positive,459.8399999999674,1
670,robot,closed,negative,544.0799999999581,1
670,robot,closed,negative,597.2800000000279,1
670,human,closed,positive,730.359999999986,1
670,robot,closed,positive,644.1800000000512,1
670,human,open,positive,553.5,1
670,robot,open,negative,696.5400000000373,1
670,human,open,positive,562.2600000000093,1
670,human,closed,negative,731.4599999999627,0
670,robot,open,negative,872.140000000014,1
