id,event,time_end,text
670,Word,158969,NA
670,ISI,159991.92,NA
670,Trial,159991.92,NA
670,Fixation,160492.82,NA
670,Prime,160692.92,NA
670,Blank,160792.68,NA
670,Word,161426,NA
670,ISI,162442.88,NA
670,Trial,162442.88,NA
670,Fixation,162942.88,NA
670,Prime,163136,NA
670,Blank,163235.28,NA
670,Word,164230,NA
670,ISI,165249.88,NA
670,Trial,165249.88,NA
670,Fixation,165750.92,NA
670,Prime,165967.54,NA
670,Blank,166067.52,NA
670,Word,166860,NA
670,ISI,167884.24,NA
670,Trial,167884.24,NA
670,Fixation,168384.18,NA
670,Prime,168577.36,NA
670,Blank,168676.9,NA
670,Word,169348,NA
670,ISI,170375.58,NA
670,Trial,170375.58,NA
670,Fixation,170875.52,NA
670,Prime,171075.18,NA
670,Blank,171175.54,NA
670,Word,171869,NA
670,ISI,172892.14,NA
670,Trial,172892.14,NA
670,Fixation,173392.14,NA
670,Prime,173617.02,NA
670,Blank,173716.68,NA
670,Word,174355,NA
670,ISI,175381.54,NA
670,Trial,175381.54,NA
670,Fixation,175882.38,NA
670,Prime,176082.42,NA
670,Blank,176198.98,NA
670,Word,176795,NA
670,ISI,177814.64,NA
670,Trial,177814.64,NA
670,Fixation,178314.76,NA
670,Prime,178515.66,NA
670,Blank,178611.38,NA
670,Word,179266,NA
670,ISI,180289.84,NA
670,Trial,180289.84,NA
670,Fixation,180789.9,NA
670,Prime,181007.52,NA
670,Blank,181107.56,NA
670,Word,181686,NA
670,ISI,182707.52,NA
670,Trial,182707.52,NA
670,Fixation,183207.54,NA
670,Prime,183407.48,NA
670,Blank,183524.14,NA
670,Word,184141,NA
670,ISI,185163.06,NA
670,Trial,185163.06,NA
670,Fixation,185663.98,NA
670,Prime,185864.02,NA
670,Blank,185964,NA
670,Word,186607,NA
670,ISI,187630.68,NA
670,Trial,187630.68,NA
670,Fixation,188129.72,NA
670,Prime,188347.32,NA
670,Blank,188447.36,NA
670,Word,189083,NA
670,ISI,190120.14,NA
670,Trial,190120.14,NA
670,Fixation,190620.08,NA
670,Prime,190820.08,NA
670,Blank,190936.76,NA
670,Word,191554,NA
670,ISI,192586.78,NA
670,Trial,192586.78,NA
670,Fixation,193086.06,NA
670,Prime,193285.72,NA
670,Blank,193386.76,NA
670,Word,194085,NA
670,ISI,195110.34,NA
670,Trial,195110.34,NA
670,Fixation,195610.32,NA
670,Prime,195827.08,NA
670,Blank,195926.64,NA
670,Word,196499,NA
670,ISI,197526.62,NA
670,Trial,197526.62,NA
670,Fixation,198025.94,NA
670,Prime,198226.94,NA
670,Blank,198326.82,NA
670,Word,199131,NA
670,ISI,200167.6,NA
670,Trial,200167.6,NA
670,Fixation,200667.54,NA
670,Prime,200867.54,NA
670,Blank,200967.54,NA
670,Word,201615,NA
670,ISI,202634.22,NA
670,Trial,202634.22,NA
670,Fixation,203134.16,NA
670,Prime,203350.84,NA
670,Blank,203450.84,NA
670,Word,204044,NA
670,ISI,205066.88,NA
670,Trial,205066.88,NA
670,Fixation,205575.76,NA
670,Prime,205775.68,NA
670,Blank,205874.88,NA
670,Word,206505,NA
670,ISI,207525.18,NA
670,Trial,207525.18,NA
670,Fixation,208025.76,NA
670,Prime,208225.46,NA
670,Blank,208325.66,NA
670,Word,209028,NA
670,ISI,210059.02,NA
670,Trial,210059.02,NA
670,Fixation,210550.5,NA
670,Prime,210767.22,NA
670,Blank,210867.24,NA
670,Word,211589,NA
670,ISI,212617.26,NA
670,Trial,212617.26,NA
670,Fixation,213117.26,NA
670,Prime,213317.2,NA
670,Blank,213417.22,NA
670,Word,214701,NA
670,ISI,215717.16,NA
670,Trial,215717.16,NA
670,Fixation,216240.6,NA
670,Prime,216439.84,NA
670,Blank,216539.62,NA
670,Word,217447,NA
670,ISI,218472.9,NA
670,Trial,218472.9,NA
670,Fixation,218973.92,NA
670,Prime,219190.5,NA
670,Blank,219290.58,NA
670,Word,220050,NA
670,ISI,221073.22,NA
670,Trial,221073.22,NA
670,Fixation,221580.18,NA
670,Prime,221780.62,NA
670,Blank,221881.16,NA
670,Word,222577,NA
670,ISI,223597.48,NA
670,Trial,223597.48,NA
670,Fixation,224097.12,NA
670,Prime,224297.88,NA
670,Blank,224397,NA
670,Word,225053,NA
670,ISI,226081.14,NA
670,Trial,226081.14,NA
670,Fixation,226588.56,NA
670,Prime,226805.12,NA
670,Blank,226905.1,NA
670,Word,227634,NA
670,ISI,228655.08,NA
670,Trial,228655.08,NA
670,Fixation,229155.08,NA
670,Prime,229355.12,NA
670,Blank,229471.76,NA
670,Word,230239,NA
670,ISI,231271.74,NA
670,Trial,231271.74,NA
670,Fixation,231794.38,NA
670,Prime,231994.32,NA
670,Blank,232094.1,NA
670,Word,232770,NA
